dish_id,dish_name,context_type,cuisine,serving_description,serving_size_grams,ingredients_list,preparation_notes,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,source_confidence
D019,Loaded Beef Nachos,restaurant,Tex-Mex,1 plate,500,tortilla chips 120g; ground beef 100g; nacho cheese sauce 150g; sour cream 60g; jalapenos 20g; pico de gallo 50g,"deep-fried chips, rich liquid cheese",1370,40,110,85,10,lab_like_recipe_calc
D020,Deep Fried Calamari,restaurant,Italian,1 appetizer,300,squid rings 200g; flour/batter 50g; frying oil 30g; marinara dip 20g,fully deep-fried,700,35,50,40,2,lab_like_recipe_calc
D021,Pad Thai with Shrimp,restaurant,Thai,1 plate,450,rice noodles 200g; shrimp 100g; pad thai sauce (sugar-based) 70g; peanuts 30g; egg 50g,stir-fried in oil,810,35,95,32,4,approximate_but_consistent
D022,Beef Pho,restaurant,Vietnamese,1 large bowl,800,beef broth 400g; rice noodles 200g; rare beef slices 100g; bean sprouts 50g; fresh herbs 50g,"simmered broth, large volume",610,40,85,12,3,lab_like_recipe_calc
D023,Spaghetti Carbonara,restaurant,Italian,1 plate,400,spaghetti 200g; pancetta 50g; egg yolks 40g; pecorino romano 50g; heavy cream 30g,rich fat and simple carbs,1040,40,85,60,3,lab_like_recipe_calc
D024,Pulled Pork Sandwich,restaurant,American,1 sandwich,300,brioche bun 80g; pulled pork 150g; BBQ sauce 50g; coleslaw 20g,"slow-cooked meat, high sugar sauce",710,35,70,32,3,approximate_but_consistent
D025,Sushi Combo (Salmon & Tuna),restaurant,Japanese,1 plate,300,sushi rice 180g; raw salmon 60g; raw tuna 60g,raw fish on vinegared white rice,450,30,70,6,1,high_confidence_recipe
D026,General Tso's Chicken,restaurant,Chinese,1 plate,500,battered deep-fried chicken 200g; sweet glaze 100g; steamed white rice 150g; broccoli 50g,"deep-fried, heavy sugary glaze",1130,40,140,45,4,lab_like_recipe_calc
D027,Lamb Gyro with Tzatziki,restaurant,Greek,1 wrap,350,pita bread 90g; sliced lamb/beef gyro meat 150g; tzatziki sauce 60g; lettuce/tomato/onion 50g,"fatty shaved meat, thick sauce",860,35,55,55,4,lab_like_recipe_calc
D028,Seafood Paella,restaurant,Spanish,1 pan,500,bomba rice 200g; shrimp 80g; mussels 70g; chorizo 50g; olive oil 20g; peas/peppers 80g,cooked in oil and seasoned broth,880,45,90,38,6,approximate_but_consistent
D029,Chicken Parmesan with Penne,restaurant,Italian,1 plate,600,breaded chicken breast 200g; penne pasta 200g; marinara sauce 120g; mozzarella 50g; parmesan 30g,"deep-fried chicken, baked with cheese",1320,75,120,60,8,lab_like_recipe_calc
D030,Buffalo Chicken Wings (8 pieces),restaurant,American,1 plate,400,chicken wings with skin 250g; buffalo sauce 100g; blue cheese dip 50g,"deep-fried, tossed in butter sauce",1100,45,10,98,1,lab_like_recipe_calc
D031,Vegetarian Tikka Masala (Paneer),restaurant,Indian,1 combo tray,500,paneer cheese 150g; tomato cream sauce 150g; naan bread 100g; rice 100g,"high fat dairy, refined carbs",1020,35,95,55,4,lab_like_recipe_calc
D032,Chicken Fajitas,restaurant,Mexican,1 skillet,450,sliced chicken breast 150g; peppers/onions 100g; flour tortillas 120g; sour cream 50g; guacamole 30g,oil-seared,820,45,80,35,8,approximate_but_consistent
D033,Classic Hot Dog with Chips,restaurant,American,1 meal,250,beef frankfurter 70g; hot dog bun 50g; potato chips 80g; ketchup/mustard 50g,"highly processed meat, fried chips",730,15,80,40,3,high_confidence_recipe
D034,Lobster Roll (Maine Style),restaurant,American,1 sandwich,250,lobster meat 120g; split-top bun 60g; mayonnaise 40g; butter 30g,chilled lobster mixed with mayo,690,25,35,50,1,lab_like_recipe_calc
D035,Falafel Wrap,restaurant,Middle Eastern,1 wrap,350,deep-fried falafel 120g; pita bread 90g; hummus 50g; tahini sauce 40g; mixed veggies 50g,"deep-fried chickpeas, rich seed sauces",790,25,85,40,12,lab_like_recipe_calc
D036,Greek Salad with Feta,home_cooked,Mediterranean,1 bowl,300,cucumber 100g; tomatoes 100g; red onion 30g; kalamata olives 30g; feta cheese 30g; olive oil 10g,light olive oil dressing,260,6,15,20,4,high_confidence_recipe
D037,Quinoa Spinach Salad,home_cooked,Mediterranean,1 bowl,250,cooked quinoa 120g; baby spinach 60g; chickpeas 40g; lemon vinaigrette 20g; walnuts 10g,"vegan, lightly tossed",320,10,35,16,7,high_confidence_recipe
D038,Homemade Brownie,home_cooked,American,1 square,70,flour 15g; cocoa powder 10g; butter 15g; sugar 25g; egg 5g,"baked, controlled sugar",290,3,40,13,2,high_confidence_recipe
D039,Lentil Dal with Roti,home_cooked,Indian,1 serving,400,cooked red lentils 250g; onions/tomatoes 50g; ghee 10g; whole wheat roti 90g,"simmered, lightly oiled",490,22,70,14,16,high_confidence_recipe
D040,Tofu Stir-Fry with Brown Rice,home_cooked,East Asian,1 plate,400,firm tofu 150g; mixed vegetables 100g; soy-ginger sauce 30g; cooked brown rice 120g,lightly pan-fried,420,20,50,15,8,high_confidence_recipe
D041,Oatmeal Bowl with Berries,home_cooked,American,1 bowl,300,rolled oats 50g; almond milk 150g; blueberries 70g; walnuts 15g; honey 15g,"boiled, no added refined sugar",340,8,55,10,8,high_confidence_recipe
D042,Grilled Salmon with Asparagus,home_cooked,American,1 plate,350,salmon fillet 180g; asparagus 150g; olive oil 15g; lemon juice 5g,grilled,450,38,6,30,3,high_confidence_recipe
D043,Turkey Chili,home_cooked,Tex-Mex,1 bowl,400,lean ground turkey 150g; kidney beans 100g; diced tomatoes 100g; onions/peppers 50g,"simmered, no added fats",370,35,35,10,12,high_confidence_recipe
D044,Spaghetti Bolognese,home_cooked,Italian,1 plate,450,spaghetti 200g; ground beef (80/20) 100g; tomato sauce 120g; onions/carrots 30g,simmered meat sauce,650,32,75,25,5,high_confidence_recipe
D045,Baked Chicken Breast with Sweet Potato,home_cooked,American,1 plate,400,chicken breast 180g; sweet potato 200g; olive oil 10g; spices 10g,"baked, skinless chicken",450,42,40,13,6,high_confidence_recipe
D046,Vegetarian Chili,home_cooked,Tex-Mex,1 bowl,400,black beans 100g; pinto beans 100g; corn 50g; crushed tomatoes 100g; bell peppers 50g,simmered,300,16,55,2,16,high_confidence_recipe
D047,Tuna Salad Sandwich,home_cooked,American,1 sandwich,220,canned tuna in water 100g; whole wheat bread 70g; light mayonnaise 30g; celery 20g,mixed,350,28,32,12,4,high_confidence_recipe
D048,Scrambled Eggs with Spinach and Feta,home_cooked,American,1 plate,200,whole eggs 150g; baby spinach 30g; feta cheese 15g; butter 5g,pan-fried,310,22,3,23,1,high_confidence_recipe
D049,Lentil Soup,home_cooked,Mediterranean,1 bowl,400,green lentils (cooked) 100g; vegetable broth 200g; carrots/celery 80g; olive oil 10g; tomatoes 10g,simmered,280,12,35,10,11,high_confidence_recipe
D050,Homemade Macaroni and Cheese,home_cooked,American,1 bowl,300,elbow macaroni 120g; whole milk 80g; cheddar cheese 80g; butter 15g; flour 5g,baked,710,28,55,42,2,lab_like_recipe_calc
D051,Mofongo con Camarones,restaurant,Puerto Rican,1 bowl,500,fried green plantains 200g; shrimp 150g; pork cracklings 30g; garlic butter sauce 50g; chicken broth 70g,"mashed fried plantains, garlic heavy",700,30,65,35,6,lab_like_recipe_calc
D052,Arroz con Gandules,home_cooked,Puerto Rican,1 plate,300,medium grain rice 150g; pigeon peas 80g; sofrito 30g; diced pork 30g; olive oil 10g,"simmered, traditional base",400,12,55,15,7,high_confidence_recipe
D053,Tostones with Mayo-Ketchup,restaurant,Puerto Rican,1 appetizer,200,green plantains 120g; frying oil 30g; mayonnaise 30g; ketchup 20g,"twice deep-fried, heavy dip",420,3,45,25,4,approximate_but_consistent
D054,Beef Bulgogi with Rice,restaurant,Korean,1 plate,450,thinly sliced beef ribeye 150g; soy-sugar marinade 50g; white rice 200g; onions 50g,pan-seared sweet marinade,600,35,70,20,2,lab_like_recipe_calc
D055,Bibimbap with Fried Egg,restaurant,Korean,1 bowl,500,white rice 200g; mixed sautéed veggies 150g; ground beef 50g; fried egg 50g; gochujang sauce 50g,"mixed bowl, oil from frying",560,20,85,15,6,lab_like_recipe_calc
D056,Carnitas Burrito,restaurant,Mexican,1 wrap,600,large flour tortilla 100g; slow-cooked pork carnitas 150g; mexican rice 100g; pinto beans 100g; cheese 50g; sour cream 50g,"wrapped, high fat meat and dairy",900,45,90,40,9,lab_like_recipe_calc
D057,BBQ Pork Ribs (Half Rack),restaurant,American,1 plate,400,pork spare ribs 250g; sweet BBQ sauce 100g; coleslaw 50g,"slow-smoked, heavy sugar glaze",900,50,40,60,2,lab_like_recipe_calc
D058,Palak Paneer with Naan,restaurant,Indian,1 combo tray,450,paneer cheese 120g; pureed spinach 150g; heavy cream 50g; garlic naan 130g,rich cream and cheese,770,25,65,45,6,approximate_but_consistent
D059,Chana Masala,home_cooked,Indian,1 bowl,350,cooked chickpeas 200g; tomato-onion gravy 130g; olive oil 10g; spices 10g,simmered,370,15,55,10,14,high_confidence_recipe
D060,Grilled Cheese Sandwich,home_cooked,American,1 sandwich,150,white bread 70g; cheddar cheese 60g; butter 20g,pan-fried in butter,380,15,30,22,2,high_confidence_recipe
D061,Tomato Basil Soup,restaurant,American,1 bowl,300,crushed tomatoes 200g; heavy cream 40g; vegetable broth 50g; olive oil 10g,pureed with cream,260,6,25,15,3,lab_like_recipe_calc
D062,Lasagna Bolognese,restaurant,Italian,1 slice,400,lasagna noodles 100g; beef bolognese sauce 150g; ricotta cheese 80g; mozzarella 70g,"baked layered pasta, rich meats",660,40,45,35,4,lab_like_recipe_calc
D063,Chicken Shawarma Plate,restaurant,Mediterranean,1 plate,500,marinated chicken thigh 200g; rice pilaf 150g; garlic sauce (toum) 50g; hummus 100g,"spit-roasted fatty chicken, oil dips",690,45,60,30,6,lab_like_recipe_calc
D064,French Onion Soup,restaurant,French,1 crock,300,beef broth 150g; caramelized onions 80g; gruyere cheese 50g; baguette slice 20g,baked with thick cheese layer,420,18,30,25,3,lab_like_recipe_calc
D065,Onion Rings,restaurant,American,1 basket,200,sliced onions 100g; batter/breading 60g; frying oil 40g,fully deep-fried,580,6,60,35,3,lab_like_recipe_calc
D066,Chocolate Chip Cookie Dough Ice Cream,restaurant,American,2 scoops,150,premium ice cream base 120g; cookie dough chunks 30g,"dense, high butterfat",380,6,45,20,0,approximate_but_consistent
D067,Baked Salmon with Quinoa,home_cooked,American,1 plate,350,salmon fillet 180g; cooked quinoa 120g; steamed broccoli 40g; olive oil 10g,"baked, light oil",440,40,35,15,5,high_confidence_recipe
D068,Vegan Impossible Burger,restaurant,American,1 sandwich,350,plant-based patty 113g; vegan brioche bun 80g; vegan mayo 20g; lettuce/tomato 40g; avocado 50g,"pan-seared, high fat meat substitute",590,25,55,30,8,lab_like_recipe_calc
D069,Veggie Spring Rolls (Fresh),home_cooked,East Asian,1 plate,200,rice paper 30g; vermicelli noodles 50g; tofu 50g; fresh veggies 50g; peanut dip 20g,"raw wrapper, not fried",300,8,45,10,4,high_confidence_recipe
D070,Tonkotsu Ramen,restaurant,Japanese,1 large bowl,700,pork bone broth 350g; ramen noodles 200g; chashu pork belly 80g; soft boiled egg 50g; green onions 20g,"rich, fatty emulsified broth",890,35,85,45,4,lab_like_recipe_calc
D071,Pork Dumplings (Steamed),restaurant,Chinese,6 pieces,250,dumpling wrappers 100g; ground pork filling 130g; soy dipping sauce 20g,"steamed, moderate fat",380,20,40,15,2,approximate_but_consistent
D072,Sweet and Sour Pork,restaurant,Chinese,1 plate,450,battered deep-fried pork 200g; sweet and sour glaze 100g; bell peppers/pineapple 150g,"deep-fried, high sugar",800,25,85,40,3,lab_like_recipe_calc
D073,Green Curry Chicken,restaurant,Thai,1 bowl,500,chicken breast 150g; coconut milk base 200g; bamboo shoots/eggplant 150g,simmered in high-fat coconut milk,650,35,25,45,4,lab_like_recipe_calc
D074,Cobb Salad (No Dressing),restaurant,American,1 bowl,350,mixed greens 100g; turkey 80g; bacon 30g; hard-boiled egg 50g; avocado 60g; blue cheese 30g,"dressing omitted, fat from toppings",410,35,12,25,6,lab_like_recipe_calc
D075,Chicken Enchiladas,home_cooked,Mexican,1 plate,350,corn tortillas 90g; shredded chicken 120g; red enchilada sauce 100g; cheddar cheese 40g,baked,460,30,40,20,5,high_confidence_recipe
D076,Peanut Butter & Jelly Sandwich,home_cooked,American,1 sandwich,150,white bread 70g; peanut butter 40g; grape jelly 40g,assembled raw,390,12,45,18,4,high_confidence_recipe
D077,Shakshuka with Bread,home_cooked,Mediterranean,1 skillet,350,crushed tomatoes/peppers 200g; eggs 100g; olive oil 10g; pita bread 40g,poached eggs in sauce,390,18,35,20,6,high_confidence_recipe
D078,Pancakes with Bacon,restaurant,American,1 plate,400,pancake batter (cooked) 200g; maple syrup 100g; thick-cut bacon 80g; butter 20g,"griddle cooked, high sugar",760,20,90,35,2,lab_like_recipe_calc
D079,Chicken Piccata,home_cooked,Italian,1 plate,300,chicken breast 180g; lemon-butter-caper sauce 50g; angel hair pasta 70g,pan-seared in butter,380,40,10,20,1,high_confidence_recipe
D080,Macadamia Nut Cookie,restaurant,American,1 large cookie,100,flour/sugar dough 70g; macadamia nuts 15g; white chocolate 15g,"baked, dense",490,5,60,25,2,approximate_but_consistent
D081,Chocolate Milkshake,restaurant,American,1 glass,400,chocolate ice cream 250g; whole milk 100g; chocolate syrup 50g,"blended, extremely dense",740,12,95,35,2,approximate_but_consistent
D082,Fried Catfish Plate,restaurant,American,1 meal,500,cornmeal-breaded catfish 200g; hushpuppies 100g; coleslaw 100g; tartar sauce 100g,"deep-fried, heavy mayo sides",810,40,60,45,5,lab_like_recipe_calc
D083,Fish and Chips,restaurant,British,1 meal,550,beer-battered cod 200g; thick-cut chips 250g; tartar sauce 100g,deep-fried fish and potatoes,950,35,90,50,6,lab_like_recipe_calc
D084,Classic Club Sandwich,restaurant,American,1 sandwich,350,toasted white bread 90g; turkey 80g; ham 40g; bacon 30g; mayo 30g; lettuce/tomato 80g,layered triple-decker,610,35,50,30,3,lab_like_recipe_calc
D085,Beef Pot Roast,home_cooked,American,1 plate,400,chuck roast 180g; potatoes 120g; carrots 80g; beef gravy 20g,slow-braised,480,45,30,20,4,high_confidence_recipe
D086,Fish Tacos,restaurant,Mexican,1 plate,350,battered white fish 120g; corn tortillas 90g; cabbage slaw 80g; crema sauce 60g,"deep-fried fish, rich sauce",510,25,45,25,4,approximate_but_consistent
D087,Tuna Casserole,home_cooked,American,1 portion,300,egg noodles 120g; canned tuna 80g; cream of mushroom soup 80g; peas 20g,baked casserole,380,25,35,15,3,high_confidence_recipe
D088,Garlic Naan,restaurant,Indian,1 piece,120,refined flour dough 100g; butter/ghee 15g; garlic 5g,"tandoor baked, brushed with butter",340,8,50,12,2,lab_like_recipe_calc
D089,Mango Sticky Rice,restaurant,Thai,1 dessert,250,glutinous rice 100g; sweet coconut milk 70g; fresh mango 80g,"steamed, saturated fat",490,4,85,15,2,approximate_but_consistent
D090,Avocado Toast with Egg,home_cooked,American,1 plate,200,sourdough bread 70g; mashed avocado 80g; fried egg 50g,"assembled, pan-fried egg",380,15,30,22,6,high_confidence_recipe
D091,Chili Cheese Dog,restaurant,American,1 serving,250,beef hot dog 70g; bun 50g; beef chili 80g; cheddar cheese 50g,high processed meat and cheese,540,20,35,35,2,lab_like_recipe_calc
D092,Greek Chicken Souvlaki,restaurant,Mediterranean,1 plate,400,grilled chicken skewers 200g; lemon rice 150g; tzatziki 50g,grilled meats,570,45,40,25,3,lab_like_recipe_calc
D093,Minestrone Soup,home_cooked,Italian,1 bowl,350,vegetable broth 200g; mixed beans 50g; ditalini pasta 30g; mixed veggies 70g,"simmered, light",230,10,35,5,8,high_confidence_recipe
D094,Fettuccine Alfredo,restaurant,Italian,1 plate,450,fettuccine pasta 200g; heavy cream 100g; butter 80g; parmesan cheese 70g,intensely rich butter/cream sauce,990,25,75,65,3,lab_like_recipe_calc
D095,Pork Chops with Applesauce,home_cooked,American,1 plate,350,bone-in pork chop 200g; unsweetened applesauce 100g; green beans 50g,pan-seared,400,40,25,15,4,high_confidence_recipe
D096,Steak Frites,restaurant,French,1 plate,500,strip steak 250g; french fries 200g; herb butter 50g,grilled steak topped with butter,960,50,65,55,5,lab_like_recipe_calc
D097,Huevos Rancheros,home_cooked,Mexican,1 plate,300,corn tortillas 60g; fried eggs 100g; ranchero sauce 80g; refried beans 60g,pan-fried,440,18,35,25,6,high_confidence_recipe
D098,Spinach Artichoke Dip with Chips,restaurant,American,1 appetizer,350,cream cheese/mayo base 150g; spinach/artichoke 100g; tortilla chips 100g,"baked cheese dip, fried chips",690,15,55,45,7,lab_like_recipe_calc
D099,Jerk Chicken Plate,restaurant,Caribbean,1 plate,450,jerk marinated chicken leg quarter 200g; rice and peas 200g; plantains 50g,"spicy marinade, grilled",630,45,55,25,6,lab_like_recipe_calc
D100,Roasted Turkey Breast,home_cooked,American,1 plate,250,skinless turkey breast 200g; turkey gravy 50g,oven-roasted,250,50,0,5,0,high_confidence_recipe
D101,Baked Ziti,home_cooked,Italian,1 plate,400,ziti pasta 150g; ricotta cheese 50g; mozzarella cheese 50g; marinara sauce 150g,"baked, heavy cheese",560,25,65,22,4,high_confidence_recipe
D102,Beef Stroganoff,restaurant,Russian,1 plate,450,egg noodles 200g; beef strips 150g; sour cream sauce 100g,simmered in rich cream sauce,810,45,70,38,3,lab_like_recipe_calc
D103,Churros with Chocolate,restaurant,Mexican,1 serving,150,fried dough 100g; cinnamon sugar 10g; chocolate dip 40g,"deep-fried, high sugar",580,6,70,30,2,lab_like_recipe_calc
D104,Clam Chowder (New England),restaurant,American,1 bowl,350,clams 80g; potatoes 100g; heavy cream 100g; bacon 20g; celery/onions 50g,cream and butter base,560,15,30,42,3,lab_like_recipe_calc
D105,Shrimp Scampi,restaurant,Italian,1 plate,400,linguine 200g; shrimp 100g; butter 50g; garlic/wine sauce 50g,pasta tossed in heavy butter,830,30,75,45,3,lab_like_recipe_calc
D106,Bagel with Cream Cheese,restaurant,American,1 piece,150,plain bagel 100g; full-fat cream cheese 50g,"toasted, thick spread",450,12,55,20,2,approximate_but_consistent
D107,Chicken Noodle Soup,home_cooked,American,1 bowl,350,chicken broth 200g; egg noodles 50g; chicken breast 50g; carrots/celery 50g,light simmered broth,200,15,25,4,2,high_confidence_recipe
D108,Caprese Salad,home_cooked,Italian,1 plate,250,tomatoes 120g; fresh mozzarella 100g; basil 5g; olive oil 15g; balsamic glaze 10g,"raw assembly, heavy olive oil",420,18,15,32,2,high_confidence_recipe
D109,Meatball Sub,restaurant,American,1 sandwich,350,hoagie roll 100g; beef/pork meatballs 150g; marinara sauce 50g; provolone cheese 50g,heavy processed meats and cheese,830,35,65,48,4,lab_like_recipe_calc
D110,Vegetable Samosas (2 pieces),restaurant,Indian,1 serving,160,potato/pea filling 100g; pastry shell 60g,deep-fried,410,8,45,22,4,lab_like_recipe_calc
D111,Aloo Gobi,home_cooked,Indian,1 bowl,300,potatoes 150g; cauliflower 120g; vegetable oil 15g; spices 15g,pan-fried,260,6,35,11,6,high_confidence_recipe
D112,Chicken Korma,restaurant,Indian,1 bowl,400,chicken breast 150g; heavy cream/cashew sauce 250g,highly rich nut and dairy sauce,730,35,30,52,3,lab_like_recipe_calc
D113,Lamb Vindaloo,restaurant,Indian,1 bowl,400,lamb chunks 150g; spicy vinegar/tomato sauce 250g,"simmered, moderately oily",550,35,25,34,4,lab_like_recipe_calc
D114,Tandoori Chicken,restaurant,Indian,1 plate,300,chicken legs/thighs 250g; yogurt marinade 50g,clay oven roasted,440,50,8,23,1,lab_like_recipe_calc
D115,Peking Duck with Pancakes,restaurant,Chinese,1 serving,300,roasted duck with skin 150g; thin pancakes 80g; hoisin sauce 40g; scallions 30g,"fatty meat with skin, sweet sauce",780,30,55,48,3,lab_like_recipe_calc
D116,Mapo Tofu,restaurant,Chinese,1 bowl,350,silken tofu 200g; ground pork 50g; spicy chili oil sauce 100g,swimming in chili oil,520,25,15,40,2,lab_like_recipe_calc
D117,Kung Pao Chicken,restaurant,Chinese,1 plate,400,diced chicken 150g; peanuts 50g; dried chilies/veggies 100g; soy/sugar sauce 100g,"stir-fried in oil, high fat nuts",680,40,35,42,5,lab_like_recipe_calc
D118,Hot and Sour Soup,restaurant,Chinese,1 bowl,300,pork broth 200g; tofu 40g; bamboo shoots/mushrooms 40g; egg ribbons 20g,thickened with cornstarch,160,10,15,6,2,approximate_but_consistent
D119,Dim Sum Har Gow (Shrimp Dumplings),restaurant,Chinese,4 pieces,120,shrimp filling 80g; tapioca wrappers 40g,steamed,190,12,25,4,1,high_confidence_recipe
D120,Steamed Edamame,home_cooked,Japanese,1 bowl,150,edamame pods 145g; sea salt 5g,steamed,180,16,14,7,8,high_confidence_recipe
D121,Miso Soup,restaurant,Japanese,1 bowl,250,dashi broth 200g; miso paste 15g; tofu 25g; wakame seaweed 10g,simmered,60,5,7,2,1,high_confidence_recipe
D122,Chicken Teriyaki Bowl,restaurant,Japanese,1 bowl,450,grilled chicken thigh 150g; teriyaki glaze 50g; white rice 200g; steamed cabbage 50g,heavy sugar glaze,700,40,95,18,3,lab_like_recipe_calc
D123,Spicy Tuna Roll,restaurant,Japanese,1 roll,200,sushi rice 120g; raw tuna 40g; spicy mayo 30g; seaweed 10g,raw fish mixed with heavy mayo,360,12,45,14,2,lab_like_recipe_calc
D124,Matcha Green Tea Ice Cream,restaurant,Japanese,2 scoops,130,heavy cream/milk base 100g; sugar 25g; matcha powder 5g,"dense, high dairy fat",310,5,35,16,0,approximate_but_consistent
D125,BLT Sandwich,home_cooked,American,1 sandwich,200,white bread 70g; bacon 40g; lettuce/tomato 60g; mayonnaise 30g,"toasted, heavy mayo",490,15,35,32,3,high_confidence_recipe
D126,Turkey Club Sandwich,restaurant,American,1 sandwich,350,toasted white bread 90g; turkey breast 100g; bacon 30g; mayo 30g; lettuce/tomato 100g,"double-decker, large portions",600,38,50,28,4,lab_like_recipe_calc
D127,French Dip Sandwich,restaurant,American,1 sandwich,350,french roll 100g; roast beef 150g; provolone cheese 30g; au jus dip 70g,heavy meat portion,620,45,55,24,3,lab_like_recipe_calc
D128,Philly Cheesesteak,restaurant,American,1 sandwich,400,hoagie roll 100g; shaved ribeye 150g; cheese whiz 80g; grilled onions 70g,"greasy meat, processed cheese",890,45,60,52,3,lab_like_recipe_calc
D129,Reuben Sandwich,restaurant,American,1 sandwich,350,rye bread 80g; corned beef 120g; swiss cheese 40g; sauerkraut 60g; russian dressing 50g,"grilled in butter, fatty meat",820,35,45,55,5,lab_like_recipe_calc
D130,Patty Melt,restaurant,American,1 sandwich,350,rye bread 80g; beef patty 150g; swiss cheese 40g; caramelized onions 50g; butter 30g,grilled heavily in butter,900,40,45,62,4,lab_like_recipe_calc
D131,Cobb Salad (Home Cooked),home_cooked,American,1 bowl,350,mixed greens 100g; chicken breast 80g; bacon 15g; egg 50g; avocado 50g; vinaigrette 30g,controlled dressing and toppings,450,35,10,30,5,high_confidence_recipe
D132,Chef Salad,restaurant,American,1 bowl,450,iceberg lettuce 150g; ham/turkey 100g; cheddar/swiss 50g; hard-boiled egg 50g; thousand island 100g,"heavy meat/cheese, thick dressing",790,40,25,58,4,lab_like_recipe_calc
D133,Waldorf Salad,restaurant,American,1 bowl,250,apples 100g; celery 50g; walnuts 40g; mayonnaise 60g,heavily dressed in mayo,570,6,25,50,5,lab_like_recipe_calc
